"gene","ig_int","ig","km_x","hc","sc_a","pl_sc"
"95406_at",13,2,10,10,2,8
"100877_at",13,3,13,13,2,1
"161136_r_at",6,6,7,7,14,14
"99624_at",7,7,7,7,6,6
"101037_at",11,6,7,7,5,14
"104160_at",8,13,7,7,8,2
"93100_at",12,12,7,7,4,4
"101578_f_at",10,10,1,1,3,3
"96573_at",10,10,12,12,3,3
"104578_f_at",5,5,10,14,7,13
"96343_at",4,4,3,6,13,9
"160407_at",8,8,2,2,2,11
"104168_at",4,3,1,1,9,7
"97904_at",2,2,14,14,9,7
"96738_at",7,11,1,1,5,6
"160606_r_at",11,8,8,8,5,11
"160134_at",8,8,11,11,5,11
"93540_at",2,13,10,10,1,2
"99038_at",13,13,3,3,2,2
"100411_at",6,6,4,4,2,14
"93468_at",8,13,11,11,1,2
"97217_at",3,13,9,9,5,7
"160255_at",12,1,7,7,4,12
"96801_at",3,2,9,9,13,7
"95022_at",13,13,3,3,2,2
"100067_at",13,13,3,3,1,2
"100970_at",6,11,7,7,5,5
"94290_at",6,11,7,7,1,5
"104407_at",8,13,4,4,2,2
"160090_f_at",14,14,12,12,10,10
"101377_at",8,13,8,8,2,2
"95100_at",2,13,14,14,2,2
"104683_at",3,8,1,1,2,11
"96891_at",2,13,14,14,2,2
"93037_i_at",7,5,8,8,13,13
"100569_at",5,5,6,9,13,13
"101393_at",5,4,8,8,13,9
"93083_at",5,4,3,3,13,9
"94304_at",6,6,1,1,2,14
"161533_at",6,6,8,8,2,14
"160552_at",3,13,9,9,2,2
"93362_at",13,2,3,3,13,7
"96639_at",8,8,4,4,8,11
"96185_at",13,13,13,13,6,7
"160734_at",6,6,9,9,2,14
"98078_at",3,13,1,1,2,2
"101035_at",3,13,9,1,2,2
"162224_r_at",8,2,2,8,2,8
"93282_at",13,13,3,6,8,2
"101016_at",12,12,12,12,4,12
"95889_at",7,6,9,1,6,1
"160082_s_at",5,5,3,3,13,13
"92968_at",11,6,10,10,5,14
