,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100
0.316845547,0.320081065,0.239647822,0.338897619,0.271953627,0.289396906,0.29711112,0.313497327,0.341769656,0.298987536,0.31229146,0.357631378,0.255220631,0.335260244,0.271775546,0.341969162,0.317681065,0.33685448,0.292978685,0.298682598,0.342345899,0.315575184,0.321693441,0.323809165,0.365758497,0.399576445,0.286083428,0.297075546,0.300316124,0.308398326,0.287844708,0.341325606,0.362539859,0.261621887,0.246626406,0.328653064,0.319494091,0.368872059,0.330164392,0.309912826,0.331161844,0.326428242,0.346441591,0.327204371,0.326564356,0.212190235,0.349623909,0.305833097,0.292030455,0.267335599,0.19626108,0.352895428,0.254533669,0.334836056,0.33376726,0.359339626,0.318097607,0.3135119,0.353876803,0.348031895,0.340480285,0.341261409,0.290126217,0.347776748,0.336661261,0.301971992,0.309737954,0.315118776,0.343635811,0.323127163,0.272003338,0.314755364,0.342499107,0.308136755,0.362043104,0.330702996,0.32232028,0.298528951,0.342785948,0.329978,0.314430487,0.372896014,0.353408633,0.303054042,0.291260751,0.276042157,0.287508036,0.365625794,0.352610137,0.251269919,0.302295915,0.337371985,0.344364736,0.327883031,0.32746528,0.355731871,0.325678371,0.318667288,0.305259924,0.296982985,0.301756009
0.373563874,0.289323685,0.408438382,0.538691788,0.387079679,0.358725257,0.342740901,0.28747148,0.422654645,0.285769661,0.398357683,0.256243387,0.253570858,0.294047321,0.292665663,0.396668078,0.264618845,0.457841172,0.268085109,0.228109053,0.507005221,0.381863681,0.295596723,0.271789088,0.510847453,0.330365677,0.32697048,0.311400579,0.379822021,0.378513744,0.201155114,0.330931544,0.367123995,0.411520681,0.484588922,0.472843894,0.467818297,0.416999825,0.363119626,0.268058978,0.463093351,0.439146678,0.405966335,0.368394008,0.288052206,0.354251663,0.419958111,0.386180527,0.291236666,0.407008524,0.297480598,0.424594384,0.230223556,0.426605895,0.390549637,0.363586565,0.337668593,0.198870731,0.273760471,0.486629555,0.562165007,0.4500685,0.151002825,0.244034808,NA,0.303682705,0.430131926,0.386849953,0.373809228,0.441586338,0.343451468,0.468520968,0.52511523,0.375519952,0.356183524,0.380530348,0.457960676,0.284141459,0.260446971,0.504613461,0.361059765,0.317982162,0.481544927,0.432319409,0.38610947,0.464075445,0.324720438,0.427683479,0.606965344,0.321057562,0.365442201,0.586944526,0.432281669,0.306728552,0.411179881,0.293282866,0.533486997,0.463337958,0.39028554,0.304274562,0.309549186
0.278100318,0.227533152,0.424994563,0.254794053,0.31068068,0.25809153,0.306541001,0.160886573,0.329712008,0.295639065,0.335355679,0.241931596,0.160547284,0.333019103,0.234009154,0.304123835,0.352768145,0.197361423,0.222295253,0.372835749,0.34927613,0.173422856,0.281924784,0.190483159,0.404060936,0.409185436,0.359200628,0.161121064,0.272233045,0.177437883,0.402555353,0.334352596,0.300500001,0.30741213,0.239951541,0.262442156,0.259439575,0.303161197,0.436237859,0.308824631,0.335461329,0.177181699,0.380762402,0.298385017,0.378136899,0.260414062,0.091665655,0.247959382,0.332265969,0.347035157,0.175450694,0.201549527,0.284760257,0.302327746,0.262731785,0.234833655,0.442937643,0.354446171,0.291810268,0.322056548,0.265084574,0.202850166,0.13193434,0,0.238346842,0.290796122,0.482803594,0.333544747,0.137416835,0.297017404,0.449745742,0,0.285384883,0.21735851,0,0.258159178,0.451745322,0.330763118,0.289687184,0.355839435,0.313974411,0.286667321,0.25014177,0.218616816,0.280207765,0.266384148,0.274364852,0.179683869,0.321402123,NA,0.232261976,0.377353787,0.191264063,0.358997414,0.270787782,0.333623623,0.254008297,0.17214896,0.193619661,0.375709805,0.3837204
0.203047561,0.155241834,0.289350229,0.195898219,0.19687064,0.108408805,0.325747346,0.119771716,0.150203581,0.13406454,0.188313667,0.229355142,0.090733269,0.205646533,0.206390813,0.240630249,0.145337354,0.209625293,0.118364482,0.257715604,0.221537843,0.223430033,0.177802769,0.167127806,0.229245114,0.248369621,0.220051168,0.134331006,0.161269779,0.065340135,0.31654547,0.229287262,0.21172364,0.133801649,0.337400073,0.242845055,0.189114642,0.217807489,0.376952211,0.248642942,0.266297876,0.098467658,0.211811071,0.219982689,0.221066155,0.233526396,0.295734292,0.226232249,0.263333295,0.189637454,0.156438155,0.190267487,0.086180217,0.175788668,0.123337913,0.235226858,0.240964306,0.192484821,0.164429208,0.301594779,0.089021074,0.1510749,0.192036928,0.327569884,0.179003536,0.220331026,0.21732585,0.256199675,0.253885455,0.159399587,0.31923817,0.136668675,0.181943249,0.17483709,0.130121864,0.120008649,0.200536921,0.236873196,0.157861493,0.218530487,0.04678644,0.217213952,0.197600574,0.16212556,0.161885805,0.169321638,0.205239895,0.277614524,0.239631392,0.229735981,0.191150842,0.233983572,0.181282902,0.320139375,0.188309076,0.241626826,0.132838816,0.179947173,0.281978873,0.242496546,0.268282061
0.162867971,0.161470029,0.211544224,0.193112596,0.113598965,0.178948146,0.119788623,0.14339255,0.233546239,0.142582971,0.145771684,NA,0.104265075,0.168108614,0.241155613,0.178605048,0.166955192,0.215287329,0.179467462,0.144477477,0.276384264,0.166927308,0.172371907,0.229488024,0.132910768,0.193294451,0.148594772,0.099111406,0.156138202,0.160517833,0.235712413,0.138132307,0.148936435,0.170551919,0.180007006,0.165806507,0.114393741,0.225442585,0.20813659,0.10687464,0.097592986,0.103875738,0.163658522,0.206290816,0.076988516,0.137299317,0.253612235,0.037952472,0.12921372,0.183208659,0.100542107,0.034993163,0.15892789,0.235304851,0.252551851,0.197927799,0.21376348,0.15015036,0.118975131,0.271459632,0.116166116,0.060107983,0.215775092,0.205773098,0.207088137,0.094362836,0.153304989,0.170059286,0,0.169419948,0.226618129,0.14088371,0.170683043,0.141939922,0.236474748,0.150839688,0.247228854,0.185420091,0.116818565,0.247308952,0.177550089,0.178776504,0.143577737,0.094536525,0.157123705,0.265651687,0.11626143,0.194656859,0.206599836,NA,0.122085434,0.054688639,0.191172721,0.226815137,0.214354389,0.104114613,0.146916083,0.112165649,0.113361777,0.178210017,0.110069023
0.109273544,0.045471991,0.158453045,0.130787486,0.050597228,0.116032826,0.07888281,0.067435999,0.079651007,0.112957815,0.117816728,0.224094265,0.128928403,0.146490725,0.053019495,0.203436301,0.140236659,0.059154657,0.13322434,0.147916537,0.057256171,0.082542113,0.054612224,0.131068489,0.121368167,0.139861031,0.157718806,0.032561028,0.076405419,0.130116174,0.073365299,0.16847849,0.205764887,0.134582936,0.153891293,0.087357122,0.2001471,0.143096321,0.080406364,0.137559417,0.05544968,0.026079952,0.114176356,0.144897157,0.104129901,0.092775161,0.140142824,0.161073209,0.209480757,0.068414652,0.088422075,0.062502214,0.11937937,0.089877383,0.071125543,0.120507221,0.116339147,0.094379834,0.086687322,0.170707635,0.062833351,0.036768004,0.09131876,0.212693117,0.06938114,0.14507212,0.114775048,0.169870313,0.082354932,0.062261013,0.107473524,0.052515625,0.119503966,0.13232955,0.174165975,0.061636256,0.079660372,0.101156413,0.103111192,0.142443077,0.023348787,0.119899993,0.084655176,0.022844771,0.095628085,0.150290915,0.102654535,0.119124069,0.058097223,0.092316165,0.137608928,0.071285374,0.095728125,0.184877015,0.069249236,0.111661911,0.095925709,0.141472637,0.096879275,0.135871099,0.0973171
0.087629621,0.068483829,0.147848798,0.081447676,0.065080202,0.076786466,0.072802053,0.064629112,0.079346922,0.125568123,NA,0.137878033,0.086642319,0.056198268,0.073045383,0.077286836,0.050587004,0.083245269,0.070271622,0.082038134,0.120238289,0.095513787,0.124079347,0.047800579,0.126465746,0.102776021,0.070827241,0.031281976,0.059107187,0.065424539,0.119405096,0.123562719,0.067133867,0.044954999,0.066414336,0.102875121,0.141616244,0.116468889,0.101482214,0.035668619,0.054203907,0.02167583,0.130593212,0.079944799,0.073321935,0.074492633,0.14510019,0.148223561,0.071853672,0.109643949,0.01720723,0.057242186,0.053104962,0.067507463,0.058407511,0.127075598,0.105591375,0.128627319,0.084933668,NA,0.10898433,0.022542213,0.084820454,0.060521686,0.072465925,0.048228516,0.038123295,0.102620245,0.107476294,0.061238166,0.107955201,0.051433612,0.211434703,0.085105404,0.061884545,0.047727329,0.085959122,0.117886502,0.08163074,0.086472658,0.066356942,0.062904101,0.138245671,0.027617752,0.111557686,0.085676301,0.126389536,0.172407617,0.154862442,0.118146334,0.075496211,0.085237298,0.046868518,0.089779356,0.112575793,0.070363589,0.140161759,0.084562462,0.110634341,0.054939532,0.137374783
0.064662205,0.043000604,0.0172166,0.115165374,0.058071376,0.017543903,0.02704251,0.0483582,0.056676321,0.128949714,0.030622304,0.066518636,0.01953692,0.051935091,0.061581985,0.062673578,0.07593824,0.054185708,0.078469863,0.029618139,0.046372917,0.057783257,0.04528181,0.129125457,0.087907908,0.155781069,0.109039828,0.053279134,0.048871537,0.03544209,0.085545717,0.042055971,0.086265637,0.033626435,0.08419684,0.075734829,0.061293494,0.074869855,0.046898359,0.123219145,0.042815796,0.101470876,0.066341706,0.065984024,0.049943857,0.090604379,0.130834002,0.026426709,0.091687116,0.051801997,0.03167065,0.023174513,0.064041882,0.050924704,0.01573916,0.140713939,0.099108995,0.087263293,0.019504205,0.060479399,0.096417889,0.023523646,0.059401519,0.127127411,0.026753832,0.101381904,0.04700489,0.075301005,0.070875239,0.058411121,0.072261766,0.049909204,0.073048334,0.053051069,0.060830134,0.048533525,0.091136848,0.056435794,0.057876277,0.09521603,0.023896069,0.04877891,0.078054662,0.025555726,0.061765656,0.056615268,0.021648735,0.089773576,0.078508038,0.084935517,0.056054935,0.041715189,0.033244776,0.092318433,0.06821374,0.147157687,0.030127387,0.041344121,0.068369849,0.084869529,0.052547678
0.046867042,0.018155894,0.077400627,0.077272622,0.0202431,0.071775436,0.057182099,0.064291299,0.033707895,0.044171069,0.04821902,0.064108921,0.024640857,NA,0.019461336,0.095180093,0.060977082,0.04560919,0.031019465,0.042985805,0.013199248,0.023602113,0.067312669,0.015511016,0.111542182,0.017535919,0.0319275,0.040422667,0.010527449,0.044942561,0.027637095,0.047756486,0.043817729,0.019114373,0.081015931,0.09069795,0.039661251,0.061317806,0.051493422,0.040914832,0.042640437,0.011435496,0.031241893,0.031724452,0.019822149,0.025228115,0.100285092,0.092103599,0.083238876,0.026349431,0.00750085,0.060279438,0.051190884,0.030275853,0.030475923,0.07792801,0.097047632,0.058786291,0.033174414,0.041630942,0.032437989,0.023794343,0.038156367,0.083548024,0.025582771,0.052738449,0.069367428,0.021176658,0.018375781,0.065114,0.074067288,0.058842907,0.063909501,0.02982291,0.080671115,0.046293003,0.078107723,0.041330094,0.036415199,0.022103241,0.040125906,0.040910276,0.03827339,NA,0.055467726,0.04925834,0.034789312,0.043154274,0.072611362,0.04008062,0.042580034,0.051395947,0.031490167,0.019805158,0.06570297,0.062000302,0.093305711,0.026206877,0.010545872,0.037832266,NA
0.047056052,NA,0.045802799,NA,NA,NA,0.059759954,NA,NA,0.089177499,NA,NA,0.008666637,0.043378283,NA,0.052964262,0.031967668,NA,0.031338499,NA,0.035514184,NA,0.067219644,0.016814702,NA,0.016996757,0.020081523,NA,NA,NA,0.036258907,NA,NA,NA,0.09715332,0.044986058,0.040831396,NA,NA,NA,0.04551431,NA,0.045719809,NA,0.066913509,NA,0.029420309,0.088632901,0.046530105,NA,0.059936319,NA,NA,NA,0.018098912,0.098593273,0.047847714,0.048643695,NA,0.09588593,NA,NA,NA,NA,NA,NA,0.009552231,0.049740181,0.08011552,0.012545876,0.041274114,NA,0.046490629,NA,0.011069219,NA,NA,NA,NA,NA,0.060541808,0.047587194,0.015384817,NA,NA,0.05520081,0.071018097,0.019541195,0.060221503,0.033761693,NA,0.044906923,NA,0.01930451,NA,NA,0.134503287,0.017295296,0.045042769,NA,NA
